iter	Passed	Remaining
474	647	715
475	648	714
476	650	713
477	651	711
478	651	709
479	652	707
480	653	705
481	654	703
482	654	701
483	655	699
484	656	697
485	657	695
486	658	693
487	658	691
488	659	689
489	660	687
490	661	685
491	662	684
492	663	682
493	664	680
494	665	678
495	665	676
496	666	674
497	667	672
498	668	670
499	669	669
500	670	667
501	670	665
502	671	663
503	672	661
504	673	660
505	674	658
506	675	656
507	676	654
508	677	653
509	677	651
510	678	649
511	679	647
512	680	645
513	680	643
514	681	641
515	682	640
516	683	638
517	684	636
518	684	634
519	685	632
520	686	631
521	688	630
522	688	628
523	689	626
524	690	624
525	691	622
526	691	620
527	692	619
528	693	617
529	694	615
530	694	613
531	695	611
532	696	609
533	696	608
534	697	606
535	698	604
536	700	604
537	701	602
538	702	600
539	703	599
540	704	597
541	704	595
542	705	593
543	706	592
544	707	590
545	707	588
546	708	586
547	709	585
548	710	583
549	711	581
550	711	580
551	713	578
552	714	577
553	715	575
554	716	574
555	716	572
556	717	570
557	718	569
558	719	567
559	719	565
560	720	563
561	721	562
562	722	560
563	722	558
564	723	557
565	724	555
566	725	553
567	726	552
568	728	551
569	729	550
570	730	548
571	730	546
572	731	545
573	732	543
574	733	541
575	733	540
576	734	538
577	735	537
578	736	535
579	737	533
580	738	532
581	739	531
582	740	529
583	741	528
584	742	526
585	743	525
586	744	523
587	745	522
588	745	520
589	746	518
590	747	517
591	748	515
592	749	514
593	750	512
594	750	511
595	751	509
596	753	508
597	754	507
598	755	505
599	756	504
600	756	502
601	757	500
602	758	499
603	759	497
604	760	496
605	760	494
606	761	493
607	762	491
608	762	489
609	763	488
610	764	486
611	765	485
612	766	484
613	767	482
614	768	481
615	769	479
616	770	478
617	771	476
618	771	475
619	772	473
620	773	472
621	774	470
622	774	468
623	775	467
624	776	465
625	777	464
626	778	462
627	779	461
628	780	460
629	780	458
630	781	457
631	782	455
632	783	454
633	784	452
634	784	451
635	785	449
636	786	448
637	787	446
638	787	445
639	788	443
640	789	442
641	789	440
642	790	439
643	792	437
644	793	436
645	793	435
646	794	433
647	795	432
648	796	430
649	797	429
650	797	427
651	798	426
652	799	424
653	799	423
654	800	421
655	801	420
656	802	419
657	803	417
658	804	416
659	805	415
660	806	413
661	807	412
662	808	410
663	808	409
664	809	407
665	810	406
666	811	405
667	812	403
668	812	402
669	813	400
670	814	399
671	815	398
672	816	396
673	817	395
674	818	393
675	819	392
676	820	391
677	820	389
678	821	388
679	822	386
680	823	385
681	823	384
682	824	382
683	825	381
684	826	379
685	826	378
686	827	377
687	828	375
688	829	374
689	830	373
690	831	371
691	832	370
692	833	369
693	834	367
694	835	366
695	835	365
696	836	363
697	837	362
698	838	360
699	839	359
700	840	358
701	840	356
702	841	355
703	842	354
704	842	352
705	843	351
706	845	350
707	846	348
708	846	347
709	847	346
710	848	344
711	849	343
712	849	342
713	850	340
714	851	339
715	852	337
716	852	336
717	853	335
718	854	333
719	854	332
720	855	331
721	856	329
722	857	328
723	859	327
724	860	326
725	861	325
726	862	323
727	863	322
728	864	321
729	865	319
730	866	318
731	867	317
732	868	316
733	868	314
734	870	313
735	872	313
736	873	311
737	874	310
738	875	309
739	876	308
740	877	306
741	878	305
742	879	304
743	880	302
744	881	301
745	882	300
746	883	299
747	884	298
748	885	296
749	886	295
750	887	294
751	888	293
752	889	291
753	890	290
754	891	289
755	891	287
756	893	286
757	894	285
758	895	284
759	897	283
760	898	282
761	899	280
762	900	279
763	901	278
764	902	277
765	903	275
766	904	274
767	904	273
768	905	272
769	906	270
770	907	269
771	909	268
772	910	267
773	911	266
774	912	264
775	913	263
776	914	262
777	915	261
778	916	259
779	917	258
780	917	257
781	918	256
782	919	254
783	920	253
784	923	252
785	924	251
786	925	250
787	925	249
788	926	247
789	927	246
790	928	245
791	929	244
792	930	242
793	931	241
794	932	240
795	933	239
796	934	237
797	935	236
798	937	235
799	937	234
800	938	233
801	939	231
802	940	230
803	941	229
804	941	228
805	942	226
806	943	225
807	944	224
808	944	223
809	945	221
810	946	220
811	949	219
812	950	218
813	950	217
814	951	216
815	952	214
816	953	213
817	953	212
818	954	210
819	955	209
820	956	208
821	956	207
822	957	205
823	958	204
824	959	203
825	960	202
826	961	201
827	962	199
828	963	198
829	964	197
830	965	196
831	966	195
832	966	193
833	967	192
834	968	191
835	969	190
836	970	188
837	970	187
838	971	186
839	972	185
840	974	184
841	975	183
842	976	181
843	976	180
844	977	179
845	978	178
846	979	176
847	979	175
848	980	174
849	981	173
850	982	171
851	983	170
852	983	169
853	984	168
854	985	167
855	986	165
856	988	164
857	989	163
858	990	162
859	990	161
860	991	160
861	992	158
862	993	157
863	994	156
864	994	155
865	995	154
866	996	152
867	996	151
868	997	150
869	998	149
870	1000	148
871	1002	147
872	1003	145
873	1003	144
874	1004	143
875	1005	142
876	1006	141
877	1007	140
878	1008	138
879	1009	137
880	1010	136
881	1010	135
882	1012	134
883	1013	132
884	1014	131
885	1015	130
886	1016	129
887	1017	128
888	1018	127
889	1018	125
890	1019	124
891	1020	123
892	1021	122
893	1022	121
894	1022	120
895	1023	118
896	1024	117
897	1027	116
898	1028	115
899	1029	114
900	1030	113
901	1030	111
902	1031	110
903	1032	109
904	1033	108
905	1033	107
906	1034	106
907	1035	104
908	1036	103
909	1037	102
910	1038	101
911	1039	100
912	1040	99
913	1041	97
914	1042	96
915	1043	95
916	1043	94
917	1044	93
918	1045	92
919	1045	90
920	1046	89
921	1047	88
922	1048	87
923	1049	86
924	1049	85
925	1050	83
926	1052	82
927	1054	81
928	1055	80
929	1056	79
930	1056	78
931	1057	77
932	1058	76
933	1059	74
934	1059	73
935	1060	72
936	1061	71
937	1062	70
938	1062	69
939	1063	67
940	1064	66
941	1065	65
942	1067	64
943	1068	63
944	1069	62
945	1069	61
946	1070	59
947	1071	58
948	1072	57
949	1073	56
950	1073	55
951	1074	54
952	1075	53
953	1076	51
954	1077	50
955	1078	49
956	1079	48
957	1080	47
958	1081	46
959	1082	45
960	1083	43
961	1083	42
962	1084	41
963	1085	40
964	1086	39
965	1087	38
966	1087	37
967	1088	35
968	1089	34
969	1090	33
970	1091	32
971	1092	31
972	1093	30
973	1094	29
974	1095	28
975	1096	26
976	1097	25
977	1097	24
978	1098	23
979	1099	22
980	1100	21
981	1101	20
982	1102	19
983	1102	17
984	1103	16
985	1105	15
986	1106	14
987	1107	13
988	1108	12
989	1108	11
990	1109	10
991	1110	8
992	1111	7
993	1112	6
994	1112	5
995	1113	4
996	1114	3
997	1115	2
998	1115	1
999	1116	0
